!
!     FILE NAME :  ZMAP_EXAMPLE_GID     
!     FORMATTED FILE CREATION DATE:  
!     FORMATTED FILE CREATION TIME: 
!
!     grid is arranged column by column  with positive y axis down and x axis to the right
!
@EXAMPLE_GRID HEADER                ,      GRID,         5
      15,  0.1000000E+31,            ,      7,      1
     486,    519,   134500.0    ,   255750.0    ,   1534000.    ,   1663500.   
    0.000000    ,   0.000000    ,   0.000000    
@
  -3239.796      -3238.109      -3236.436      -3234.769      -3233.117    
  -3231.471      -3229.837      -3228.216      -3226.607      -3225.013    
  -3223.424      -3221.847      -3220.285      -3218.732      -3217.195    
  -3215.671      -3214.160      -3212.661      -3211.175      -3209.702    
  -3208.245      -3206.803      -3205.373      -3203.955      -3202.552    
  -3201.164      -3199.788      -3198.430      -3197.082      -3195.751    
  -3194.434      -3193.130      -3191.843      -3190.573      -3189.317    
  -3188.073      -3186.849      -3185.637      -3184.439      -3183.258    
  -3182.093      -3180.945      -3179.813      -3178.696      -3177.591    
  -3176.506      -3175.438      -3174.383      -3173.346      -3172.328    
  -3171.324      -3170.335      -3169.365      -3168.410      -3167.471    
  -3166.548      -3165.638      -3164.746      -3163.868      -3163.005    
  -3162.161      -3161.327      -3160.506      -3159.708      -3158.923    
  -3158.150      -3157.388      -3156.641      -3155.908      -3155.188    
  -3154.476      -3153.774      -3153.084      -3152.402      -3151.727    
  -3151.061      -3150.405      -3149.758      -3149.122      -3148.504    
  -3147.901      -3147.316      -3146.754      -3146.220      -3145.716    
  -3145.244      -3144.804      -3144.398      -3144.023      -3143.665    
  -3143.303      -3142.918      -3142.487      -3142.001      -3141.462    
  -3140.900      -3140.339      -3139.766      -3139.171      -3138.550    
  -3137.916      -3137.290      -3136.686      -3136.118      -3135.583    
  -3135.087      -3134.629      -3134.200      -3133.804      -3133.432    
  -3133.081      -3132.750      -3132.438      -3132.146      -3131.870    
  -3131.615      -3131.373      -3131.151      -3130.946      -3130.762    
  -3130.598      -3130.461      -3130.346      -3130.260      -3130.203    
  -3130.172      -3130.168      -3130.193      -3130.252      -3130.340    
  -3130.457      -3130.606      -3130.789      -3131.006      -3131.255    
  -3131.542      -3131.865      -3132.222      -3132.615      -3133.046    
  -3133.513      -3134.016      -3134.556      -3135.134      -3135.748    
  -3136.403      -3137.093      -3137.826      -3138.596      -3139.408    
  -3140.255      -3141.140      -3142.069      -3143.034      -3144.042    
  -3145.086      -3146.170      -3147.290      -3148.455      -3149.658    
  -3150.901      -3152.182      -3153.500      -3154.858      -3156.254    
  -3157.690      -3159.165      -3160.679      -3162.233      -3163.825    
  -3165.456      -3167.125      -3168.829      -3170.574      -3172.360    
  -3174.184      -3176.046      -3177.945      -3179.885      -3181.858    
  -3183.866      -3185.910      -3187.992      -3190.109      -3192.259    
  -3194.438      -3196.648      -3198.883      -3201.146      -3203.434    
  -3205.751      -3208.089      -3210.443      -3212.815      -3215.197    
  -3217.589      -3219.987      -3222.386      -3224.785      -3227.170    
  -3229.549      -3231.907      -3234.249      -3236.566      -3238.853    
  -3241.118      -3243.350      -3245.558      -3247.743      -3249.908    
  -3252.062      -3254.214      -3256.375      -3258.551      -3260.762    
  -3263.015      -3265.319      -3267.675      -3270.065      -3272.453    
  -3274.789      -3277.023      -3279.155      -3281.238      -3283.390    
  -3285.705      -3288.075      -3290.382      -3292.577      -3294.667    
  -3296.704      -3298.735      -3300.795      -3302.899      -3305.048    
  -3307.227      -3309.422      -3311.623      -3313.820      -3315.999    
  -3318.154      -3320.274      -3322.356      -3324.393      -3326.389    
  -3328.338      -3330.244      -3332.107      -3333.926      -3335.708    
  -3337.458      -3339.180      -3340.883      -3342.565      -3344.231    
  -3345.879      -3347.516      -3349.142      -3350.761      -3352.375    
  -3353.991      -3355.603      -3357.214      -3358.826      -3360.435    
  -3362.049      -3363.666      -3365.286      -3366.916      -3368.545    
  -3370.185      -3371.828      -3373.477      -3375.135      -3376.799    
  -3378.473      -3380.149      -3381.834      -3383.524      -3385.221    
  -3386.923      -3388.634      -3390.349      -3392.072      -3393.804    
  -3395.543      -3397.292      -3399.047      -3400.811      -3402.583    
  -3404.366      -3406.155      -3407.955      -3409.764      -3411.583    
  -3413.417      -3415.263      -3417.119      -3418.983      -3420.861    
  -3422.746      -3424.647      -3426.568      -3428.500      -3430.443    
  -3432.400      -3434.372      -3436.361      -3438.361      -3440.372    
  -3442.396      -3444.435      -3446.487      -3448.553      -3450.629    
  -3452.719      -3454.821      -3456.936      -3459.058      -3461.184    
  -3463.318      -3465.454      -3467.592      -3469.727      -3471.860    
  -3473.985      -3476.103      -3478.209      -3480.304      -3482.381    
  -3484.433      -3486.468      -3488.473      -3490.449      -3492.397    
  -3494.312      -3496.194      -3498.048      -3499.869      -3501.672    
  -3503.454      -3505.227      -3506.990      -3508.755      -3510.524    
  -3512.305      -3514.094      -3515.901      -3517.718      -3519.538    
  -3521.347      -3523.131      -3524.873      -3526.555      -3528.159    
  -3529.688      -3531.142      -3532.530      -3533.867      -3535.167    
  -3536.452      -3537.730      -3539.002      -3540.271      -3541.539    
  -3542.806      -3544.067      -3545.320      -3546.560      -3547.782    
  -3548.986      -3550.169      -3551.332      -3552.469      -3553.577    
  -3554.666      -3555.732      -3556.782      -3557.815      -3558.833    
  -3559.839      -3560.841      -3561.840      -3562.836      -3563.830    
  -3564.830      -3565.832      -3566.841      -3567.858      -3568.882    
  -3569.912      -3570.955      -3572.012      -3573.083      -3574.161    
  -3575.252      -3576.360      -3577.476      -3578.598      -3579.740    
  -3580.892      -3582.056      -3583.232      -3584.423      -3585.623    
  -3586.837      -3588.059      -3589.292      -3590.541      -3591.801    
  -3593.071      -3594.350      -3595.638      -3596.936      -3598.244    
  -3599.565      -3600.894      -3602.231      -3603.576      -3604.934    
  -3606.298      -3607.672      -3609.057      -3610.455      -3611.861    
  -3613.275      -3614.698      -3616.130      -3617.573      -3619.024    
  -3620.482      -3621.950      -3623.430      -3624.916      -3626.411    
  -3627.915      -3629.428      -3630.949      -3632.479      -3634.018    
  -3635.568      -3637.122      -3638.681      -3640.247      -3641.823    
  -3643.409      -3644.998      -3646.592      -3648.195      -3649.802    
  -3651.418      -3653.035      -3654.659      -3656.290      -3657.930    
  -3659.567      -3661.207      -3662.849      -3664.493      -3666.139    
  -3667.789      -3669.433      -3671.079      -3672.724      -3674.365    
  -3676.008      -3677.650      -3679.292      -3680.935      -3682.581    
  -3684.236      -3685.898      -3687.568      -3689.251      -3690.943    
